元の番号,分類番号,単語,和訳,分類語源,一つ目の語源,一つ目の語源の長さ,二つ目の語源,二つ目の語源の長さ,三つ目の語源,三つ目の語源の長さ,参考,参考の長さ,,,,,,,,,,,,
486,52,,,corp_corpus(体),,0,,0,,0,,0,,,,,,,,,,,,
487,53,cosmetic,美容の,cosm_kosmos(秩序),kosmos(秩序),10,,0,,0,,0,肌の手入れに毎日欠かさず化粧クリーム(cosmetic cream)を塗っていることでしょう,ただ高価な化粧品(cosmetic product)は広告費とパッケージ代にお金をかけており、原価は極めて低いです,,,,,,,,,,
488,53,cosmetics,化粧品,cosm_kosmos(秩序),kosmos(秩序),10,,0,,0,,0,,,,,,,,,,,,
489,53,cosmic,宇宙の,cosm_kosmos(秩序),kosmos(宇宙),10,,0,,0,,0,は、宇宙から地球に飛んでくる放射線のことです,放射線とは強い運動エネルギーを持った物質粒子のことで、特定の物質をすり抜ける性質があることからX線検査などで使われます,,,,,,,,,,
490,53,cosmology,宇宙論,cosm_kosmos(秩序),kosmo(宇宙),9,logy(学問),8,,0,,0,は、文字どおり宇宙を研究する学問のことです,宇宙に関する考察は古代からなされており、様々な宗教や神話、哲学などが絡みます,一方現代で行われる科学的な宇宙論は現代宇宙論(contemporary cosmology),呼ばれ、物理学や天文学の一分野とされています,,,,,,,,
491,53,cosmonaut,(ソビエトの)宇宙飛行士,cosm_kosmos(秩序),kosmos(宇宙),10,naut(船乗り),9,,0,,0,ソ連の宇宙飛行士といえば、人類初の有人宇宙飛行を成し遂げたユーリイ・ガガーリンが有名ですね,,,,,,,,,,,
492,53,cosmopolitanism,コスモポリタニズム,cosm_kosmos(秩序),kosmos(世界),10,polites(市民),11,,0,,0,世界を一つの国に統一すれば、人種や言語などの壁もなくなり、世界平和が実現できるとされています,,,,,,,,,,,
493,53,cosmos,宇宙,cosm_kosmos(秩序),kosmos(秩序),10,,0,,0,,0,,,,,,,,,,,,
494,53,microcosm,小宇宙,cosm_kosmos(秩序),mica(小さな),9,kosmos(世界),10,,0,,0,,,,,,,,,,,,
495,53,,,cosm_kosmos(秩序),,0,,0,,0,,0,,,,,,,,,,,,
496,54,aristocracy,貴族政治,crat_cracy_kratos(支配),aristos(最善),11,kratos(支配),10,,0,,0,は、貴族が人民を統治する仕組みのことです,もともと貴族と,最上の者」を意味し、戦争において勇敢な働きをする者にだけ与えられる名誉な称号でした,今となってはその意味合いも薄れ、生まれながらにして贅沢ができる特権階級を指す言葉となってしまいました,,,,,,,,
497,54,autocracy,独裁,crat_cracy_kratos(支配),auto(自分),8,kratos(支配),10,,0,,0,は、個人や一つの政党が絶対的な権力を握り、民衆を統治する仕組みのことです,もともとは古代ローマで緊急時に独裁官が統治することを指していましたが、現代ではナチスや北朝鮮などの個人を抑圧し、他党を弾圧する統治形態を指します,,,,,,,,,,
498,54,bureaucracy,官僚制,crat_cracy_kratos(支配),bureau(机),9,kratos(支配),10,,0,,0,は、大規模な組織を管理するための支配システムのことです,規則の遵守が徹底され、指揮系統が上下関係がはっきりしているのが特長です,ルール厳守が厳しすぎて融通が利かない、他の部署を協力しないことなかれ主義などと官僚主義はよくマスコミや評論家の批判の的になります,,,,,,,,,
499,54,democracy,民主制,crat_cracy_kratos(支配),demo(民),7,kratos(支配),10,,0,,0,民主制(democracy),は住民が代表者を通さずに自分の意見を反映させる政治制度のことです,現在日本では、選挙で代表者を選んで間接的に政治に参加する間接民主制(representative democracy)が採用されています,,,,,,,,,
500,54,meritocracy,能力主義,crat_cracy_kratos(支配),merit(業績),9,kratos(支配),10,,0,,0,昔の時代は、生まれによって地位が決められており、貴族(aristocrat)の子は貴族、農民の子は農民になる運命でした,しかしこのシステムなら貧しい出自の人でも出世できる可能性が開けてきます,歴史的に有名な例は、中国で採用されていた科挙です,ただ科挙は非常に難易度が高く、教育を受けさせるための経済的な余裕が必要で、受けられるのはやはり富裕層に限られていました,,,,,,,,
501,54,plutocracy,金権政治,crat_cracy_kratos(支配),pluto(富),8,kratos(支配),10,,0,,0,は、金の力で政治権力を得ることです,選挙で当選するには相応の活動資金や広告資金が必要になりますが、行き過ぎると賄賂(bribe)や多額の政治献金(political contribution)など政治的な腐敗がはびこります,,,,,,,,,,
502,54,theocracy,神権政治,crat_cracy_kratos(支配),theo(神),7,kratos(支配),10,,0,,0,は、神官(priest)や僧侶(monk)が支配者となって、国を治める政治制度のことです,例えば、古代エジプトではファラオは神の子とされ、政治と宗教の両面から国を支配していました,,,,,,,,,,
503,54,,,crat_cracy_kratos(支配),,0,,0,,0,,0,,,,,,,,,,,,
504,55,concern,心配事,cre_cern_cernere(分ける),con(一緒),7,cernere(分ける),12,,0,,0,例えば歳をとって働けない人にとって、お金は心配事の一つです(money is one of concern),現在の日本には高齢化について大きな不安があります(there is serious concern in population aging),,,,,,,,,,
505,55,decree,法令,cre_cern_cernere(分ける),de(下),5,cernere(分ける),12,,0,,0,は国会の定める「法律」と行政機関が出す「命令」を合わせた法律用語です,法令にカバーする範囲は広く、憲法、条約、法律、政令、条例などが含まれます,新しく法令が作られた場合には、国民に広く知らせるために法令を発布します(to issue decree),,,,,,,,,
506,55,discreet,思慮深い,cre_cern_cernere(分ける),dis(離れる),8,cernere(分ける),12,,0,,0,例えば分別のある人(discreet person)は常に相手を傷つけない配慮をしており、周囲の人からも信頼されています,また秘密を打ち明けるときは常に慎重であるべきです(should be discreet in confessing your secret),,,,,,,,,,
507,55,discern,識別する,cre_cern_cernere(分ける),dis(離れる),8,cernere(分ける),12,,0,,0,,,,,,,,,,,,
508,55,discriminate,差別する,cre_cern_cernere(分ける),dis(離れる),8,cernere(分ける),12,,0,,0,は、人種や国籍、性別などで人を不平等に扱うことです,例えば昔は黒人を差別するのが当たり前とされていました(to discriminate against black people),日本では外国人を差別する風潮はまだ根強いです(to discriminate against foreigner),,,,,,,,,
509,55,excrement,排泄物,cre_cern_cernere(分ける),ex(外),5,cernere(分ける),12,,0,,0,介護が必要な人は自分で排便ができないため、他の人が排泄物を処理しないといけません(to dispose of their excrement),,,,,,,,,,,
510,55,secret,秘密の,cre_cern_cernere(分ける),se(離れる),7,cernere(分ける),12,,0,,0, confidentialです,秘密を知っている少数の人間とそれを知らない多数の人間を分けるイメージですね,例えば敵国の情報を手に入れたい場合には、極秘任務(secret mission),して敵国に密使(secret agent)を派遣します,また評判の良いレストランでは他の店では真似できない秘密のレシピ(secret recipe)を使っているかもしれません,,,,,,,
511,55,secretary,秘書、長官,cre_cern_cernere(分ける),se(離れる),7,cernere(分ける),12,,0,,0,秘書(secretary)の仕事は、上司のスケジュール調整や来客対応、電話応対などを行うことで、アシスタントとほぼ同じです,,,,,,,,,,,
512,55,secretion,分泌,cre_cern_cernere(分ける),se(離れる),7,cernere(分ける),12,,0,,0,は、体内の細胞が何らかの生産物を排出することです,動物の体は必要に応じて特定の物質を排出するようにできています,例えば人間は体温調節のために皮膚の汗腺から汗を分泌します(to secrete sweat),他にも口内の唾液腺は食べ物の消化を助けるために唾液を分泌します(to secrete saliva),,,,,,,,
513,55,,,cre_cern_cernere(分ける),,0,,0,,0,,0,,,,,,,,,,,,
514,56,accretion,付着,cre_crescere(育つ),ad(方向),6,crescere(育つ),12,,0,,0,例えば着雪(snow accretion),は、雪が何かに付着する現象のことです,,,,,,,,,,
515,56,concrete,具体的な、コンクリートの,cre_crescere(育つ),con(一緒),7,crescere(育つ),12,,0,,0,例えば相手に何か難しいことを説明するときには、具体例(concrete example)を持ち出すと良いです,裁判で被告人を有罪にするには、推論だけではなく具体的な証拠(concrete evidence)が必要です,ビジネスを成功させるには、具体的な計画(concrete plan)を立てましょう,,,,,,,,,
516,56,create,創作する,cre_crescere(育つ),crescere(育つ),12,,0,,0,,0,作家も常に頭を絞り文章を創作します(to create texts),,,,,,,,,,,
517,56,creature,生き物,cre_crescere(育つ),creare(生み出す),12,,0,,0,,0,,,,,,,,,,,,
518,56,crescendo,クレッシェンド、次第に強く,cre_crescere(育つ),crescere(育つ),12,,0,,0,,0,,,,,,,,,,,,
519,56,crescent,三日月,cre_crescere(育つ),crescere(育つ),12,,0,,0,,0,,,,,,,,,,,,
520,56,crew,乗務員,cre_crescere(育つ),crescere(育つ),12,,0,,0,,0,,,,,,,,,,,,
521,56,decrease,減る・減らす,cre_crescere(育つ),de(離れる),7,crescere(育つ),12,,0,,0,例えば日本では人口が徐々に減少しています(the population of Japan has been decreasing),リーマンショックの影響で日経平均株価は50%減少しました(to decrease by 50%),,,,,,,,,,
522,56,increase,増える・増やす,cre_crescere(育つ),in(中),5,crescere(育つ),12,,0,,0,例えば日本では高齢者の人口が急速に増えています(the population of old people has been increasing rapidly),福利厚生の良い大企業に勤めていると、給料が毎年３％上昇します(the salary increases by 3%),,,,,,,,,,
523,56,increment,増加,cre_crescere(育つ),in(中),5,crescere(育つ),12,,0,,0,は、プログラム内の変数を１増やす処理のことで、繰り返し処理などで非常によく使われます,,,,,,,,,,,
524,56,recreation,気晴らし,cre_crescere(育つ),re(再び),6,crescere(育つ),12,,0,,0, leisureです,原義,病気から回復する」です,どんなに真面目な人でもたまには息抜きが必要です,例えば活発なサラリーマンは、休日に気晴らしでスポーツを楽しみ(to play sports for recreation)、インドアな人は息抜きにゲームします(to play video games for recreation),また福利厚生の豊かな企業は社員のために保養所(recreation facilities)を設立したり、慰安旅行(recreation trip)を企画したりします,,,,,,
525,56,recruit,募集する、新入社員,cre_crescere(育つ),re(再び),6,crescere(育てる),13,,0,,0,コンビニや飲食店などで人手が足りなくなった時には、店長が新たに従業員を募集します(to recruit the staff),また日本の会社には新卒一括採用という風習があり、毎年多くの新卒を採用しています(to recruit many new graduates),,,,,,,,,,
526,56,,,cre_crescere(育つ),,0,,0,,0,,0,,,,,,,,,,,,
527,57,credence,信用,cred_credere(信用),credere(信用),11,,0,,0,,0, confidenceと比べると、credenceはフォーマルな単語です,例えば世間の人々はゴシップを簡単に信じてしまいます(to give credence to the gossip easily),お金に困った高齢者も将来への不安から胡散臭い金融商品を鵜呑みにしてしまいます(to give credence to fishy financial product),,,,,,,,,
528,57,credentials,資質,cred_credere(信用),credere(信用),11,,0,,0,,0,,,,,,,,,,,,
529,57,credible,信頼できる,cred_credere(信用),credere(信じる),12,,0,,0,,0,急用で子どもを預けたい場合は、信頼できる人(credible person)にお願いしましょう,,,,,,,,,,,
530,57,credit,掛売り,cred_credere(信用),credere(信用),11,,0,,0,,0,通販以外にも手元にお金がない人は車を掛けで購入し(to buy a car on credit)、ローンを少しずつ返済していきます,クレジットカードは非常に便利ですが、利用限度額(credit limit)を超えると、使えなくなってしまうので注意が必要です,,,,,,,,,,
531,57,creditor,債権者,cred_credere(信用),credere(信用),11,,0,,0,,0,例えばもしあなたが家を買うために銀行でローンを組んだなら、債権者は銀行、債務者はあなたになります,,,,,,,,,,,
532,57,credulous,騙されやすい,cred_credere(信用),credere(信用),11,,0,,0,,0,,,,,,,,,,,,
533,57,creed,信条,cred_credere(信用),cred(信用),8,,0,,0,ラテン語のcredo(私は信じる)に由来します。,24,,,,,,,,,,,,
534,57,,,cred_credere(信用),,0,,0,,0,,0,,,,,,,,,,,,
535,58,crime,犯罪,crim_crimen(罪),crimen(罪),9,,0,,0,,0,人は誰であれ犯罪を犯すと(to commit a crime)、犯罪者とみなされ罰を受けることになります,軽い犯罪(petty crime)なら軽い罰を、重犯罪(serious crime)なら重い罰を受けることになります,警察の仕事は犯罪と戦い(to combat crime)、町の犯罪率を下げることです(to reduce the crime rate),,,,,,,,,
536,58,criminal,犯罪の、犯罪者,crim_crimen(罪),crimen(罪),9,,0,,0,,0,まだ捕まっていない犯人は指名手配犯(wanted criminal),して町中のポスターに張り出されます,同じ犯罪を繰り返す犯罪者は常習犯(habitual criminal),呼ばれます,,,,,,,,
537,58,criminology,犯罪学,crim_crimen(罪),crimen(罪),9,logy(学問),8,,0,,0,現在の犯罪学の主流は刑事犯罪学派で、犯罪を起こす外的要因ごとに適切な刑罰を与えるべきだと主張しています,,,,,,,,,,,
538,58,decriminalize,合法化する,crim_crimen(罪),de(離れる),7,crimen(罪),9,,0,,0,社会は時代とともに変化していくので、法律もそれに合わせるべきでしょう,例えばオランダでは大麻を合法化して(to decriminalize marijuana)、暴力団の資金源を断つことに成功しています,またスイスでは安楽死が合法化されているので(euthanasia is decriminalized)、不治の病にかかっても自分で自分の人生を終わらせることができます,,,,,,,,,
539,58,incriminate,告発する,crim_crimen(罪),in(中に),6,crimen(罪),9,,0,,0,,,,,,,,,,,,
540,58,recrimination,報復による反論,crim_crimen(罪),re(再び),6,crimen(罪),9,,0,,0,,,,,,,,,,,,
541,58,,,crim_crimen(罪),,0,,0,,0,,0,,,,,,,,,,,,
542,59,crisis,危機,crit_krinein(判断する),krinein(判断する),13,,0,,0,,0,石油危機(oil crisis)が発生した時期にはトイレットペーパーの買い占め騒動も発生しました,2008年のサブプライムローン問題が深刻な金融危機(financial crisis)を引き起こしたのは有名な話です,,,,,,,,,,
543,59,criterion,基準,crit_krinein(判断する),krites(判断),10,,0,,0,,0,例えばある会社の採用基準はリーダーシップがあることです(criterion for employment is leadership),日本では学校の良し悪しを測る基準に偏差値を使います(use deviation as criterion for measuring how good schools are),製品の品質が基準を満たしている場合のみ(to fulfill a criterion)、商品として出荷されます,,,,,,,,,
544,59,critic,評論家,crit_krinein(判断する),krinein(判断する),13,,0,,0,,0,,,,,,,,,,,,
545,59,critical,批判的、重要な,crit_krinein(判断する),krinein(判断する),13,,0,,0,,0,,,,,,,,,,,,
546,59,criticize,批判する,crit_krinein(判断する),krinein(判断する),13,ize(動詞化),8,,0,,0,,,,,,,,,,,,
547,59,critique,批評,crit_krinein(判断する),krinein(判断する),13,,0,,0,,0,,,,,,,,,,,,
548,59,,,crit_krinein(判断する),,0,,0,,0,,0,,,,,,,,,,,,
549,60,crypt,地下聖堂、crypt関数,crypt_kryptos(隠れる),kryptos(隠れた),12,,0,,0,,0,,,,,,,,,,,,
550,60,cryptography,暗号,crypt_kryptos(隠れる),kryptos(隠れた),12,graphein(書く),12,,0,,0,は、敵勢力に内容を知られることなく味方に情報を伝える技術のことです,特に戦時中は敵に情報が筒抜けになると大きく不利になるので、情報の暗号化は重要でした,第二次世界大戦からは特定のアルゴリズムで文字を返還するサイファという方法が主流になりました,ドイツが使用したエニグマという暗号機に聞き覚えがある人もいるはずです,,,,,,,,
551,60,decrypt,解読する,crypt_kryptos(隠れる),de(外す),6,kryptos(隠れた),12,,0,,0,decryptは特にパソコンを使った暗号の解読で使われます,例えば他人に見られたくないファイルがある場合は、暗号化ソフトでキーをかけて必要な時には暗号を符号化して(to decrypt a code)、ファイルと閲覧します,ファイルを暗号化する時には解読キー(decryption key)を忘れないように注意しましょう,,,,,,,,,
552,60,encrypt,暗号化する,crypt_kryptos(隠れる),in(中),5,kryptos(隠れた),12,,0,,0,例えば相手に機密情報を送るときは、第三者に知られないように情報を暗号化します(to encrypt the information),ネットの買い物で一番怖いのはクレジットカードなどの情報が流出することです,ネット上で決済する場合はデータ暗号化(data encryption)を導入している大手のサイトを使いましょう,,,,,,,,,
553,60,,,crypt_kryptos(隠れる),,0,,0,,0,,0,,,,,,,,,,,,
554,61,culpable,過失のある,culp_culpa(犯罪),culpa(罪),8,,0,,0,,0,例えば子どもを炎天下の車内に放置して熱中症で死なせてしまった場合は、管理不行き届き(culpable negligence),みなされます,また工場のメンテナンスが行き届いておらず作業員が機械に巻き込まれて死んでしまった場合は、責任者は過失致死傷罪(culpable homicide)に問われます,,,,,,,,,
555,61,culprit,犯人,culp_culpa(犯罪),culpa(罪),8,,0,,0,,0,また現実の世界では警察は犯人を捕まえるのが仕事です(to catch a culprit),犯人が野放しになっていると(the culprit is at large)、街の治安が脅かされるので警察も必死になって捜索します,,,,,,,,,,
556,61,exculpate,無罪を証明する,culp_culpa(犯罪),ex(外),5,culpa(罪),8,,0,,0,,,,,,,,,,,,
557,61,inculpate,非難する,culp_culpa(犯罪),in(中),5,culpa(罪),8,,0,,0,,,,,,,,,,,,
558,61,,,culp_culpa(犯罪),,0,,0,,0,,0,,,,,,,,,,,,
559,62,agriculture,農業,cult_colere(育てる),ager(土地),8,cultura(耕す),11,,0,,0,農業(agriculture),は、土地を利用して植物や動物を育てる産業のことです,,,,,,,,,,
560,62,aquaculture,水産養殖,cult_colere(育てる),aqua(水),7,cultura(耕す),11,,0,,0,は、魚介類などを商業目的で育てる産業のことです,養殖のメリットは成体では見つかりにくい魚も確保できることです,例えば日本は世界のウナギの７割を消費しており、その99％は養殖魚(farmed fish)です,,,,,,,,,
561,62,colony,植民地,cult_colere(育てる),colere(耕す),10,,0,,0,,0,他国を植民地として支配することで(to colonize other countries)、国の経済的利益や資源を搾取することができるので、一昔前の欧米諸国は自国の繁栄のために積極的に植民地を増やしていました,このような考え方を植民地主義(colonialism),言います,戦時中の日本もこの考え方に賛同しており、台湾、朝鮮、南樺太などはかつて日本の植民地(Japanese colony),なっていました,今は国ごとに主権があり植民地を作ることはできませんが、次は多国籍企業が発展途上国を経済的に搾取する新植民地主義(neocolonialism)が懸念されています,,,,,,
562,62,cult,カルト,cult_colere(育てる),colere(耕す),10,,0,,0,,0,日本ではオウム真理教が有名で、特に地下鉄サリン事件による無差別殺人は社会を震撼させました,,,,,,,,,,,
563,62,cultivate,耕す、鍛える,cult_colere(育てる),cultus(耕す),10,,0,,0,,0,例えば家庭菜園を始めるなら、まずは庭を耕して(to cultivate a garden)、土を柔らかくする必要があります,初心者ならミニトマトを育ててみるのが良いでしょう(to cultivate a cherry tomato),,,,,,,,,,
564,62,culture,文化,cult_colere(育てる),cultus(耕す),10,,0,,0,,0,例えば日本で生まれたばかりの赤ん坊はまだ右も左もわかりませんが、成長して家族や友人と触れ合うことで、日本人なりの考え方や風習が身につきます,例えば時間厳守や空気を読む、和を尊ぶなどは典型的な日本の文化(Japanese culture)ですね,ただ日本の文化知らないと、他国の文化に触れたときにひどく動揺するかもしれません,この現象をカルチャーショック(culture shock),呼びます,,,,,,,
565,62,,,cult_colere(育てる),,0,,0,,0,,0,,,,,,,,,,,,
566,63,accumulate,蓄積する,cumul_cumulare(積む),ad(方向),6,cumulare(積み上げる),15,,0,「塵も積もれば山となる」ということわざは何事にも当てはまります。,32,例えばお金持ちは無駄なことにお金を使わず、少しずつ富を築き上げます(to accumulate wealth),一方貧乏人は欲しいものにお金を散財してしまうので、大きな借金が溜まっていきます(to accumulate huge debt),このサイトでは語源の知識を蓄積しています(to accumulate the knowledge of etymology),,,,,,,,,
567,63,cumulative,累積的,cumul_cumulare(積む),cumulare(積み上げる),15,,0,,0,,0,,,,,,,,,,,,
568,63,cumulonimbus,積乱雲,cumul_cumulare(積む),cumulus(積雲),11,nimbus(乱雲),10,,0,,0,,,,,,,,,,,,
569,63,cumulus,積雲,cumul_cumulare(積む),cumulare(積み上げる),15,,0,,0,,0,,,,,,,,,,,,
570,63,,,cumul_cumulare(積む),,0,,0,,0,,0,,,,,,,,,,,,
571,64,concur,同意する,cur_currere(流れる、走る),com(一緒),7,currere(走る),11,,0,,0,,,,,,,,,,,,
572,64,corridor,廊下,cur_currere(流れる、走る),cur(流れる、走る),11,,0,,0,ラテン語のcurrere(走る)に由来します。,23, passageです,,,,,,,,,,,
573,64,courier,クーリエ,cur_currere(流れる、走る),currere(走る),11,,0,,0,,0,,,,,,,,,,,,
574,64,course,学習コース,cur_currere(流れる、走る),currere(走る),11,,0,,0,,0,,,,,,,,,,,,
575,64,currency,通貨,cur_currere(流れる、走る),currere(走る),11,,0,,0,,0, change, bill, coinです,,,,,,,,,
576,64,current,現在の、流れ,cur_currere(流れる、走る),currere(流れる),12,,0,,0,,0,,,,,,,,,,,,
577,64,curriculum,教育課程,cur_currere(流れる、走る),currere(流れる),12,,0,,0,,0,,,,,,,,,,,,
578,64,excursion,短期の旅行,cur_currere(流れる、走る),ex(外),5,currere(流れる),12,,0,,0,,,,,,,,,,,,
579,64,occur,発生する,cur_currere(流れる、走る),ob(反対),6,currere(走る),11,,0,,0,,,,,,,,,,,,
580,64,precursor,先行するもの、前駆体,cur_currere(流れる、走る),prae(前),7,currere(走る),11,,0,原義はラテン語のpraecursor(先祖)です。,25,同義語はpioneerです,,,,,,,,,,,
581,64,recur,再発する,cur_currere(流れる、走る),re(再び),6,currere(走る),11,,0,原義はラテン語のrecurrere(戻る)です。,24,,,,,,,,,,,,
582,64,,,cur_currere(流れる、走る),,0,,0,,0,,0,,,,,,,,,,,,
583,65,accurate,正確な,cure_cura_curare(世話),ad(方向),6,curare(手入れ),11,,0,,0,気をつけて行う」で、同義語はcorrect, precise, exactです,何事も正確であることは良いことです,例えばそろばんが得意な人は大抵計算が正確です(to be accurate at figures),知らない場所を訪れるなら正確な地図(accurate map)が必要です,スポーツで審判を務めるなら正確な判断力(accurate judgement)が必要です,警察から事情聴取を受けた場合はできるだけ正確な情報(accurate information)を提供しましょう,,,,
584,65,care,世話・介護,cure_cura_curare(世話),karo(悲しみ),9,,0,,0,,0,高齢者や障害者を昼間のみ預かり、世話をするサービスをデイケア(day care),言います,自力で治せない病気にかかった場合は、病院で医療を受けましょう(to receive health care),重篤な状態の患者には細心の注意を払う必要があるので、集中治療室(intensive care unit)に搬送されます,,,,,,,,
585,65,curation,キュレーション,cure_cura_curare(世話),curare(世話する),12,,0,,0,,0,そこでNAVERまとめやToggetterなどの特定の情報を集めてまとめるサービスが重宝されるわけです,,,,,,,,,,,
586,65,curative,治療の,cure_cura_curare(世話),curare(世話する),12,,0,,0,,0,,,,,,,,,,,,
587,65,curator,キュレーター,cure_cura_curare(世話),cutatus(世話する),13,,0,,0,,0,は、美術館や図書館を管理する責任者のことで、作品の収集・展示・研究など館内の全体的な業務を引き受けます,館内において大きな権限と責任を持っているので、日本語で,学芸員」よりも「館長」と訳すべきだと思います,,,,,,,,,
588,65,cure,病気を治す,cure_cura_curare(世話),curare(世話する),12,,0,,0,,0,一方軽い症状ならドラッグストアで手にはいる薬で治せます,例えばバファリンは頭痛を治し(to cure a headache)、正露丸は下痢を治し(to cure diarrhea)、ガスター10は胸焼けを治します(to cure heartburn),,,,,,,,,,
589,65,curious,知りたがり,cure_cura_curare(世話),care(注意),8,,0,,0,,0,週刊誌で面白いマンガを見つけると、次の話が気になってしまいます(to be curious about the next story),,,,,,,,,,,
590,65,manicure,マニキュア,cure_cura_curare(世話),manus(手),8,cura(治す),8,,0,,0,日本でいうマニキュアは英語のnail polishを指すのに対し、英語のmanicure,マニキュアを塗る行為」を指します,おしゃれが大好きな女性は毎日欠かさず爪にマニキュアを塗りますね(to manicure her nails),,,,,,,,,
591,65,pedicure,ペディキュア,cure_cura_curare(世話),ped(足),6,cura(治す),8,,0,,0,は、足の爪や足全体をきれいに手入れすることです,マニキュアとは異なり、足の爪をきれいにするだけではなく、かかとの角質を軽石(pumice stone)で削ったりもします,,,,,,,,,,
592,65,procure,入手する,cure_cura_curare(世話),pro(何かのために),11,cura(世話),8,,0,,0,例えば戦時中は食料を確保するのも困難です(it is difficult to procure food),何かを作るビジネスを始めるなら、まずは材料を調達しましょう(to procure the materials of products),お金がない状態でビジネスを始める場合、まずは銀行から資金を調達します(to procure funds from banks),,,,,,,,,
593,65,secure,安全な、確保する,cure_cura_curare(世話),se(離れる),7,cura(手入れ),9,,0,,0,例えば日本では一度公務員になってしまえば、クビや倒産のリスクがないので安定した職(a secure job),されています,またもしあなたが金持ちの家に生まれたなら、将来は約束されたようなものです(your future looks secure),,,,,,,,,
594,65,sinecure,閑職,cure_cura_curare(世話),sine(無い),8,cura(世話),8,,0,,0,は、仕事は少ないのに給料がそれなりにもらえる仕事のことです,日本では正社員を一度雇うと解雇できないので、反抗的な社員や不祥事を起こした社員などは閑職に移動させられます(to be transferred to a sinecure),,,,,,,,,,
595,65,,,cure_cura_curare(世話),,0,,0,,0,,0,,,,,,,,,,,,
596,66,accuse,訴える,cuse_cause_causa(原因),ad(方向),6,causa(理由),9,,0,,0,原因を問う」で、悪事や事件の原因を問いただす時に使われます,例えば殺人の容疑がある人間は検察官に殺人罪で訴えられます(to be accused of murder),人のものを勝手に盗めば泥棒呼ばわりされてしまいます(to be accused of theft),,,,,,,,,
597,66,because,なぜなら,cuse_cause_causa(原因),bi cause(原因によって),16,,0,,0,,0,理由→結果」の順で訳すので、文章の順序が逆になりややこしくなってしまいます,英語を読む場合,becauseは理由の後付け」と考えると文章が読みやすくなります,例えば人が毎日働くのはお金が必要だからです(people work everyday because they need money),,,,,,,,
598,66,cause,原因、引き起こす,cuse_cause_causa(原因),cause(原因),9,,0,,0,ラテン語のcausa(理由)に由来します。,21,火事が発生した場合も、まずは出火原因を調べ(to investigate the cause of fire)、放火なら犯人を探します,殺人事件で死体が発見された場合も、警察はまず死因を特定し(to identify the cause of death)、他殺なら犯人を探します,,,,,,,,,,
599,66,excuse,許す,cuse_cause_causa(原因),ex(外),5,causa(非難),9,,0,,0,駅の場所がわからない場合に,すみませんが駅までの道を教えてください(Excuse me, could you tell me the way to the station)」と尋ねましょう,,,,,,,,,
600,66,,,cuse_cause_causa(原因),,0,,0,,0,,0,,,,,,,,,,,,
601,67,damn,忌まわしい,damn_demn_damnare(害する),damnare(非難する),13,,0,,0,,0,,,,,,,,,,,,
602,67,damage,損害,damn_demn_damnare(害する),damn(害する),9,,0,,0,ラテン語のdamnum(損害)に由来します。,22,,,,,,,,,,,,
603,67,condemn,非難する、罪を宣告する,damn_demn_damnare(害する),con(強調),7,demnare(害する),12,,0,,0,,,,,,,,,,,,
604,67,,,damn_demn_damnare(害する),,0,,0,,0,,0,,,,,,,,,,,,
605,68,debase,価値を下げる,de(下),de(下),5,base(低い),8,,0,,0,またdebase,人としての価値を下げる」という意味でも使われます,例えば仕事をクビになったり、恋人にふられたりしても、人や物に当たって自分を貶めるようなことはしないようにしましょう(don’t debase yourself),,,,,,,,,
606,68,decline,断る,de(下),de(下),5,clinare(傾く),11,,0,,0,例えば知人にパーティーの招待を受けても、都合が悪ければそれを断らないといけません(you have to decline the invitation),,,,,,,,,,,
607,68,defamation,中傷、名誉毀損,de(下),de(下),5,fame(噂),7,,0,,0,は根拠もなく他人の悪口を言うことです,中傷は言われた人間に多大なストレスをもたらすので、行わないようにしましょう,現代ではネットの掲示板やSNSを通じて気軽に意見を述べることができるようになりましたが、匿名だからと他人の中傷をしすぎると、名誉毀損として訴えられることもあります(to be charged with defamation),,,,,,,,,
608,68,degenerate,悪化する,de(下),de(下),5,genus(生む),9,,0,,0,また仕事でのストレスを紛らわせるためにお酒ばかり飲んでいると、アルコール中毒に堕ちてしまいます(you will degenerate into alcoholic),,,,,,,,,,,
609,68,dejected,落ち込んだ,de(下),de(下),5,iacere(投げる),11,,0,,0,,,,,,,,,,,,
610,68,depressed,落ち込んだ、不景気な,de(下),de(下),5,press(押す),9,,0,,0,,,,,,,,,,,,
611,68,descend,降りる、子孫である,de(下),de(下),5,scandere(登る),12,,0,,0,山を降りる場合は(to descend a mountain)、転倒しないように一歩一歩ゆっくりと歩くことが大切です,,,,,,,,,,,
612,68,devalue,通貨の価値を下げる,de(下),de(下),5,value(価値),9,,0,,0,ただし平価切下げは固定相場制でしか使うことができないため、変動相場制の現在では使われない言葉です,,,,,,,,,,,
613,68,,,de(下),,0,,0,,0,,0,,,,,,,,,,,,
614,69,decade,10年間,deca_deka(十),deka(十),7,,0,,0,,0,,,,,,,,,,,,
615,69,decahedron,十面体,deca_deka(十),deca(10),8,hedra(面),8,,0,,0,,,,,,,,,,,,
616,69,decalogue,十戒,deca_deka(十),deca(10),8,logue(言葉),9,,0,,0,は、モーセが神から与えられた十の戒律のことです,十戒には、親を敬うこと、偶像を作らないこと、殺人を犯さないことなどユダヤ教・キリスト教における基本的な教えが記されています,,,,,,,,,,
